what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1325685660819
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1325685660819
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1325685661895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325685662649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325685666852
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1325685671663
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1325685672174
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1325685672180
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1325685672180
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1325685672180
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1325685672180
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1325685672190
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1325685672190
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1325685672190
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1325685672190
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1325685672190
stopped,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1325685672190
stopped,bundle,org.eclipse.iam.dependency.analysis,0.11.0.201001181900,"org.eclipse.iam.dependency.analysis",1325685672200
stopped,bundle,org.eclipse.iam.dependency.viewer,0.11.0.201001181900,"org.eclipse.iam.dependency.viewer",1325685672200
stopped,bundle,org.eclipse.iam.teamsupport,0.11.0.201001181900,"org.eclipse.iam.teamsupport",1325685672200
stopped,bundle,org.eclipse.iam.wizard,0.11.0.201001181900,"org.eclipse.iam.wizard",1325685672200
stopped,bundle,org.eclipse.iam.jdt.ui,0.11.0.201001181900,"org.eclipse.iam.jdt.ui",1325685672200
stopped,bundle,org.eclipse.iam.pomeditor,0.11.0.201001181900,"org.eclipse.iam.pomeditor",1325685672210
stopped,bundle,org.eclipse.iam.search.ui,0.11.0.201001181900,"org.eclipse.iam.search.ui",1325685672210
stopped,bundle,org.eclipse.iam.ui,0.11.0.201001181900,"org.eclipse.iam.ui",1325685672210
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1325685672220
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1325685672220
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.304.v201101251958,"org.eclipse.wst.xsd.ui",1325685672230
stopped,bundle,org.eclipse.iam.pomxmleditor,0.11.0.201001181900,"org.eclipse.iam.pomxmleditor",1325685672230
stopped,bundle,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui",1325685672230
stopped,bundle,org.eclipse.wst.common.ui,1.1.500.v200911190730,"org.eclipse.wst.common.ui",1325685672230
stopped,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1325685672243
stopped,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1325685672243
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1325685672244
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1325685672244
